0,1,2,3,4,5
投票日,2015年04月12日,投票率,48.64%  ( ↓ ),定数/候補者数,86 / 140
告示日,2015年04月03日,前回投票率,49.27%,49.27%,49.27%
有権者数,"1,976,652人  前回より -116,163人  男性  0人  女性  0人","1,976,652人  前回より -116,163人  男性  0人  女性  0人","1,976,652人  前回より -116,163人  男性  0人  女性  0人","1,976,652人  前回より -116,163人  男性  0人  女性  0人","1,976,652人  前回より -116,163人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
