0,1,2,3,4,5
投票日,2011年04月10日,投票率,49.42%  ( ↓ ),定数/候補者数,52 / 78
告示日,2011年04月01日,前回投票率,49.48%,49.48%,49.48%
有権者数,"671,812人  前回より +5,874人  男性  0人  女性  0人","671,812人  前回より +5,874人  男性  0人  女性  0人","671,812人  前回より +5,874人  男性  0人  女性  0人","671,812人  前回より +5,874人  男性  0人  女性  0人","671,812人  前回より +5,874人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
