0,1,2,3,4,5
投票日,2023年04月09日,投票率,48.1%  ( ↓ ),定数/候補者数,81 / 125
告示日,2023年03月31日,前回投票率,52.18%  選挙公報,52.18%  選挙公報,52.18%  選挙公報
有権者数,"2,214,712人  男性  1,059,379人  女性  1,155,333人","2,214,712人  男性  1,059,379人  女性  1,155,333人","2,214,712人  男性  1,059,379人  女性  1,155,333人","2,214,712人  男性  1,059,379人  女性  1,155,333人","2,214,712人  男性  1,059,379人  女性  1,155,333人"
事由・ポイント,任期満了  /有権者数については一部無投票選挙となった選挙区の選挙人名簿登録者数も含まれています,任期満了  /有権者数については一部無投票選挙となった選挙区の選挙人名簿登録者数も含まれています,任期満了  /有権者数については一部無投票選挙となった選挙区の選挙人名簿登録者数も含まれています,任期満了  /有権者数については一部無投票選挙となった選挙区の選挙人名簿登録者数も含まれています,任期満了  /有権者数については一部無投票選挙となった選挙区の選挙人名簿登録者数も含まれています
