0,1,2,3,4,5
投票日,2019年04月07日,投票率,49.72%  ( ↑ ),定数/候補者数,48 / 62
告示日,2019年03月29日,前回投票率,47.86%,47.86%,47.86%
有権者数,"683,943人  前回より +12,056人  男性  0人  女性  0人","683,943人  前回より +12,056人  男性  0人  女性  0人","683,943人  前回より +12,056人  男性  0人  女性  0人","683,943人  前回より +12,056人  男性  0人  女性  0人","683,943人  前回より +12,056人  男性  0人  女性  0人"
事由・ポイント,任期満了  /東区選挙区の野村友昭氏は、堺市長選出馬のため、辞職しました。これにより、次点の乾恵美子氏が繰り上げ当選する予定です。（2019年5月21日）,任期満了  /東区選挙区の野村友昭氏は、堺市長選出馬のため、辞職しました。これにより、次点の乾恵美子氏が繰り上げ当選する予定です。（2019年5月21日）,任期満了  /東区選挙区の野村友昭氏は、堺市長選出馬のため、辞職しました。これにより、次点の乾恵美子氏が繰り上げ当選する予定です。（2019年5月21日）,任期満了  /東区選挙区の野村友昭氏は、堺市長選出馬のため、辞職しました。これにより、次点の乾恵美子氏が繰り上げ当選する予定です。（2019年5月21日）,任期満了  /東区選挙区の野村友昭氏は、堺市長選出馬のため、辞職しました。これにより、次点の乾恵美子氏が繰り上げ当選する予定です。（2019年5月21日）
