0,1,2,3,4,5
投票日,2011年04月10日,投票率,49.27%  ( ↑ ),定数/候補者数,86 / 145
告示日,2011年04月01日,前回投票率,46.42%,46.42%,46.42%
有権者数,"2,092,815人  前回より +32,113人  男性  0人  女性  0人","2,092,815人  前回より +32,113人  男性  0人  女性  0人","2,092,815人  前回より +32,113人  男性  0人  女性  0人","2,092,815人  前回より +32,113人  男性  0人  女性  0人","2,092,815人  前回より +32,113人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
