0,1,2,3,4,5
投票日,2017年09月24日,投票率,44.31%  ( ↓ ),定数/候補者数,1 / 2
告示日,2017年09月10日,前回投票率,50.69%,50.69%,50.69%
有権者数,"688,758人  前回より +13,424人  男性  0人  女性  0人","688,758人  前回より +13,424人  男性  0人  女性  0人","688,758人  前回より +13,424人  男性  0人  女性  0人","688,758人  前回より +13,424人  男性  0人  女性  0人","688,758人  前回より +13,424人  男性  0人  女性  0人"
事由・ポイント,任期満了,任期満了,任期満了,任期満了,任期満了
